YPR104C	YNL301C
YDR146C	YNL160W
YDR520C	YBR137W
YMR021C	YJL048C
YBL103C	YER002W
YMR053C	YLR412W
YHR084W	YHR005C
YGL071W	YNL259C
YGL073W	YGR146C
YEL009C	YER089C
YHR084W	YDR531W
YBL103C	YDR127W
YOR363C	YJR019C
YNL314W	YBR087W
YBR049C	YMR182C
YGL131C	YPR104C
YNL199C	YOR138C
YOR363C	YLR284C
YGL073W	YOR374W
YHR206W	YJL107C
YFR034C	YDR281C
YHR084W	YDR457W
YHR206W	YMR251W-A
YPL049C	YBR040W
YKL112W	YGR059W
YNL216W	YLL045C
YDR146C	YLR013W
YOR028C	YMR089C
YBR049C	YIL075C
YMR016C	YMR016C
YPL049C	YNL053W
YKL112W	YOL077C
YDL020C	YER142C
YNL216W	YEL054C
YML007W	YER103W
YMR037C	YMR251W-A
YDL106C	YLL015W
YHR206W	YML073C
YNL199C	YDR050C
YGL071W	YOL083W
YMR037C	YHL028W
YFL031W	YFR026C
YER111C	YDL227C
YPR104C	YLL045C
YNL216W	YJL027C
YPR104C	YGR117C
YBR083W	YMR173W
YBR083W	YER118C
YLR223C	YER074W
YLR256W	YOR317W
YNL027W	YHR138C
YPL049C	YDL135C
YHR084W	YDR533C
YBL005W	YJL082W
YKL062W	YDR074W
YNL216W	YFL016C
YMR037C	YDR516C
YKL043W	YEL039C
YMR043W	YNR028W
YNL103W	YLR303W
YHR084W	YFL014W
YPR104C	YDR025W
YJR060W	YPL236C
YPL049C	YDR309C
YLR223C	YNL096C
YKL020C	YGL055W
YDL056W	YJL186W
YHL027W	YPL277C
YER111C	YER111C
YNL216W	YMR251W
YPL075W	YER177W
YOR028C	YMR244C-A
YKL109W	YHR008C
YMR037C	YJR073C
YIR018W	YNL338W
YOR028C	YEL044W
YNL216W	YBR035C
YPR104C	YER102W
YHR206W	YLR108C
YIR017C	YNL277W
YLR131C	YGL006W
YHR206W	YJL101C
YMR037C	YKR066C
YDR207C	YGL251C
YGL073W	YOL082W
YHR084W	YOR091W
YNL103W	YDL058W
YPR104C	YJL191W
YKL062W	YDR354W
YMR021C	YLR214W
YER111C	YMR070W
YPL248C	YDR009W
YPL089C	YLR414C
YDL056W	YGR109C
YJR060W	YML123C
YJR060W	YNL104C
YKR099W	YGL184C
YFL021W	YJL110C
YMR016C	YER044C
YJR060W	YOL136C
YHR084W	YPR122W
YIL131C	YFR003C
YER111C	YPR159W
YNL216W	YBL013W
YDL020C	YIL075C
YML007W	YGR154C
YOL028C	YPL170W
YER040W	YPL265W
YMR016C	YAL062W
YPL248C	YML051W
YLR131C	YNL078W
YBR049C	YBR236C
YIR018W	YIL018W
YPL089C	YGR282C
YNL167C	YGL261C
YPL089C	YGL158W
YHR084W	YAR027W
YKL112W	YGL192W
YPL202C	YOR383C
YNL199C	YCR012W
YMR037C	YBR056W
YPL089C	YJL106W
YNL216W	YDR300C
YGL013C	YOR095C
YDL056W	YDR524C
YDR043C	YPL024W
YLR451W	YOR375C
YJR060W	YHR112C
YMR037C	YGR249W
YKL062W	YDL020C
YLR403W	YMR290C
YFR034C	YPL018W
YLR256W	YLR205C
YNL216W	YJL200C
YPL075W	YHR092C
YER040W	YIR029W
YLR403W	YLR249W
YMR043W	YKL164C
YMR016C	YER011W
YGL071W	YOR382W
YJR060W	YIL126W
YNL216W	YGR085C
YGL013C	YCL030C
YDR520C	YER036C
YPR065W	YNL036W
YKL112W	YLR222C
YML007W	YGR234W
YNL027W	YJL171C
YLR403W	YGR085C
YLR182W	YMR199W
YDR463W	YOL126C
YNL216W	YOR359W
YHR084W	YPL049C
YKL112W	YPR187W
YDR423C	YAL062W
YBL103C	YPL135W
YML007W	YNL176C
YDR207C	YER044C-A
YKL043W	YGR251W
YGL073W	YPR154W
YBR083W	YGL162W
YBR049C	YOR158W
YNL027W	YMR316W
YHR178W	YIL160C
YPR104C	YDR501W
YLR403W	YGL031C
YGL131C	YPR184W
YGL073W	YDR155C
YDL020C	YNR044W
YKL062W	YKL035W
YKL112W	YDL105W
YHR206W	YLR257W
YNL216W	YDR036C
YPR104C	YBL087C
YHR178W	YIL159W
YDR146C	YMR251W-A
YJR060W	YIL074C
YHR084W	YGR122W
YOR028C	YLR001C
YPR104C	YBR117C
YJR060W	YNL094W
YOR028C	YJR133W
YKR034W	YLR082C
YNL216W	YGR031W
YBR049C	YKL104C
YKL112W	YHR162W
YHR084W	YAL041W
YML007W	YBR054W
YPL202C	YDR475C
YLR131C	YOR140W
YDR043C	YOL028C
YNL027W	YPR006C
YDL106C	YLR439W
YKL112W	YDR194C
YDR216W	YDL119C
YLR182W	YMR306W
YDR146C	YNL328C
YBR083W	YJR153W
YOR028C	YKL103C
YKL043W	YPR013C
YOR363C	YIL160C
YPR065W	YDR042C
YJR060W	YER091C
YDL056W	YCR065W
YOR344C	YBL016W
YOL108C	YMR029C
YNL216W	YNL148C
YNL027W	YNL336W
YPR104C	YDL184C
YBR083W	YNL279W
YDR146C	YOR138C
YHR084W	YGR161C
YDR310C	YOL102C
YGR249W	YOR391C
YDR259C	YER046W
YER040W	YER040W
YKL062W	YKL150W
YPR104C	YNL069C
YPL038W	YGL184C
YLR403W	YPR137W
YEL009C	YBL043W
YNL216W	YGR156W
YHR084W	YLR275W
YKR099W	YDR019C
YBR083W	YGL096W
YHR206W	YPL171C
YGL071W	YDR534C
YGL071W	YMR186W
YOR344C	YJR088C
YBR049C	YDR466W
YNL068C	YBR010W
YLR131C	YPR106W
YGL162W	YMR135C
YPR104C	YBR118W
YHR206W	YLR110C
YDL106C	YDL059C
YDL056W	YKL113C
YML007W	YMR142C
YJR060W	YBR082C
YHR084W	YKL128C
YGL162W	YER044C
YHR084W	YER155C
YNL216W	YLR387C
YBR049C	YDL186W
YHR084W	YGR250C
YDL020C	YFL056C
YDR043C	YDR259C
YOR344C	YHR042W
YDL020C	YNL250W
YIR018W	YGL103W
YIR023W	YLR094C
YML007W	YDR438W
YKL112W	YOL036W
YIR017C	YKL001C
YOR028C	YGR250C
YHR206W	YOL151W
YEL009C	YKL210W
YMR043W	YJL159W
YNL216W	YOR183W
YIL101C	YBR025C
YMR043W	YIL077C
YDR043C	YOR226C
YKL062W	YDR085C
YGL162W	YNL231C
YAL051W	YPL095C
YNL216W	YJL045W
YPL202C	YFL042C
YHR084W	YLR348C
YDR207C	YJL153C
YMR016C	YNL178W
YPR104C	YMR143W
YOL028C	YBR179C
YFL021W	YIR029W
YNL216W	YIL055C
YGL073W	YDR156W
YGL166W	YJR104C
YDR207C	YPL017C
YKL185W	YGR189C
YHR084W	YGL050W
YOR372C	YJL051W
YKL112W	YMR297W
YNL103W	YJL212C
YBL021C	YLL027W
YNL027W	YPL057C
YKL062W	YMR251W-A
YER040W	YGL006W
YNL027W	YPR159W
YDR207C	YPR029C
YBR049C	YIL112W
YGL071W	YHR200W
YMR070W	YNL036W
YHR084W	YGR052W
YKL112W	YAL023C
YML007W	YNL208W
YNL216W	YOL082W
YLR176C	YPR015C
YMR016C	YPL177C
YNL167C	YKL096W
YHR084W	YBR083W
YIL131C	YLR210W
YDR207C	YLR314C
YGL162W	YPL230W
YMR037C	YIL053W
YDR043C	YER001W
YNL216W	YER028C
YNL216W	YDR447C
YER111C	YBR071W
YFR034C	YHR136C
YLR223C	YGL136C
YIL131C	YLR406C
YGL073W	YJR046W
YBR083W	YMR199W
YBR049C	YPR181C
YML007W	YPR048W
YLR451W	YJR016C
YPL202C	YFL041W
YER040W	YEL063C
YKL062W	YKL062W
YBR049C	YBR237W
YPR104C	YER117W
YOR028C	YLR332W
YOR363C	YDR244W
YPL089C	YJL171C
YFL021W	YEL063C
YLR223C	YGL076C
YKL062W	YLR258W
YMR037C	YPR184W
YKL112W	YIL135C
YLR182W	YML027W
YKL112W	YKL135C
YMR280C	YLR174W
YBL005W	YOL031C
YML027W	YJL105W
YIL131C	YMR078C
YPL075W	YJL052W
YBL103C	YJR110W
YNL027W	YDL234C
YMR037C	YBR299W
YHR084W	YJR055W
YPL049C	YMR305C
YIL036W	YBR109C
YNL216W	YOR348C
YOR162C	YOR353C
YOR358W	YDR385W
YHR084W	YER159C
YLR223C	YML063W
YKL112W	YKR056W
YNL167C	YDR077W
YNL216W	YCR024C-A
YOL028C	YMR177W
YDR259C	YGR238C
YER111C	YMR017W
YMR016C	YDR077W
YOR372C	YNL241C
YHR084W	YDL048C
YKL109W	YDL066W
YDR259C	YMR016C
YEL009C	YJL200C
YHR206W	YER010C
YEL009C	YEL011W
YGL071W	YNL268W
YIR023W	YDR508C
YBR049C	YNR039C
YHL020C	YPR159W
YHR178W	YDL049C
YER111C	YOR315W
YPR065W	YDR259C
YOR372C	YBR078W
YHR206W	YML052W
YNL167C	YCR104W
YEL009C	YGL234W
YKL043W	YPL230W
YDR146C	YMR262W
YBL005W	YGR161C
YMR037C	YBR072W
YOL116W	YBL041W
YHR084W	YER018C
YKL043W	YOR355W
YGL013C	YOR152C
YEL009C	YPR058W
YHR206W	YML053C
YDR207C	YPR030W
